frame id, time, X, Y, Z
66959, 3.680481, 1, 0.1451108, 1.139114, -9.073867
66959, 3.685974, 0, -0.1416515, 1.095258, -9.051278
66959, 3.685974, 1, 0.143285, 1.139371, -9.073398
66959, 3.692293, 0, -0.1416371, 1.095105, -9.051202
66959, 3.692293, 1, 0.14134, 1.139644, -9.072897
66960, 3.697666, 0, -0.1416986, 1.094913, -9.051199
66960, 3.697666, 1, 0.139849, 1.140071, -9.072565
66960, 3.703831, 0, -0.1417197, 1.09472, -9.051148
66960, 3.703831, 1, 0.1378659, 1.140457, -9.072081
66960, 3.710128, 0, -0.1417394, 1.09454, -9.051102
66960, 3.710128, 1, 0.1360116, 1.140818, -9.071628
66960, 3.715615, 0, -0.1417569, 1.094381, -9.05106
66960, 3.715615, 1, 0.1343685, 1.141137, -9.071226
66961, 3.721146, 0, -0.1418739, 1.094119, -9.051082
66961, 3.721146, 1, 0.1325135, 1.141491, -9.070742
66961, 3.726466, 0, -0.141917, 1.093945, -9.051062
66961, 3.726466, 1, 0.1309566, 1.141792, -9.070353
66962, 3.732068, 0, -0.1420629, 1.093697, -9.051019
66962, 3.732068, 1, 0.1286407, 1.142913, -9.06995
66962, 3.738294, 0, -0.1421677, 1.093455, -9.050983
66962, 3.738294, 1, 0.1264194, 1.143697, -9.069488
66962, 3.743296, 0, -0.1422582, 1.093246, -9.050953
66962, 3.743296, 1, 0.1244988, 1.144376, -9.069088
66963, 3.748935, 0, -0.1421807, 1.092916, -9.050985
66963, 3.748935, 1, 0.1241355, 1.14388, -9.069006
66963, 3.753984, 0, -0.1421823, 1.092654, -9.050987
66963, 3.753984, 1, 0.1230791, 1.143935, -9.068783
66963, 3.760399, 0, -0.1422178, 1.092358, -9.050955
